employee_id,active,stock_opt_lvl,trainings,age,commute_dist,ed_lvl,ed_field,gender,marital_sts,dept,engagement,job_lvl,job_title,overtime,business_travel,hourly_rate,daily_comp,monthly_comp,annual_comp,ytd_leads,ytd_sales,standard_hrs,salary_hike_pct,perf_rating,prior_emplr_cnt,env_sat,job_sat,rel_sat,wl_balance,work_exp,org_tenure,job_tenure,last_promo,mgr_tenure,interview_rating
1001,No,0,0,41,1,2,Life Sciences,Female,Single,Sales,3,2,Sales Executive,Yes,Travel_Rarely,94,752,16293,195520,61,81496,80,11,3,8,2,4,1,1,8,6,4,0,5,3.3
1002,Yes,1,3,49,8,1,Life Sciences,Male,Married,Research & Development,2,2,Research Scientist,No,Travel_Frequently,61,488,10573,126880,,,80,23,4,1,3,2,4,2,10,10,7,1,7,3.7
1003,No,0,3,37,2,2,Other,Male,Single,Research & Development,2,1,Laboratory Technician,Yes,Travel_Rarely,92,736,15947,191360,,,80,15,3,6,4,3,2,2,7,0,0,0,0,2.7
1004,Yes,0,3,33,3,4,Life Sciences,Female,Married,Research & Development,3,1,Research Scientist,Yes,Travel_Frequently,56,448,9707,116480,,,80,11,3,1,4,3,3,2,8,8,7,3,0,4.6
1005,Yes,1,3,27,2,1,Medical,Male,Married,Research & Development,3,1,Laboratory Technician,No,Travel_Rarely,40,320,6933,83200,,,80,12,3,9,1,2,4,2,6,2,2,2,2,5
1006,Yes,0,2,32,2,2,Life Sciences,Male,Single,Research & Development,3,1,Laboratory Technician,No,Travel_Frequently,79,632,13693,164320,,,80,13,3,0,4,4,3,2,8,7,7,3,6,3.6
1007,Yes,3,3,59,3,3,Medical,Female,Married,Research & Development,4,1,Laboratory Technician,Yes,Travel_Rarely,81,648,14040,168480,,,80,20,4,4,3,1,1,2,12,1,0,0,0,4.8
1008,Yes,1,2,30,24,1,Life Sciences,Male,Divorced,Research & Development,3,1,Laboratory Technician,No,Travel_Rarely,67,536,11613,139360,,,80,22,4,1,4,3,2,2,1,1,0,0,0,3.5
1009,Yes,0,2,38,23,3,Life Sciences,Male,Single,Research & Development,2,3,Manufacturing Director,No,Travel_Frequently,44,352,7627,91520,,,80,21,4,0,4,3,2,2,10,9,7,1,8,4.3
1010,Yes,2,3,36,27,3,Medical,Male,Married,Research & Development,3,2,Healthcare Representative,No,Travel_Rarely,94,752,16293,195520,,,80,13,3,6,3,3,2,2,17,7,7,7,7,3.8
1011,Yes,1,5,35,16,3,Medical,Male,Married,Research & Development,4,1,Laboratory Technician,No,Travel_Rarely,84,672,14560,174720,,,80,13,3,0,1,2,3,2,6,5,4,0,3,4.4
1012,Yes,0,3,29,15,2,Life Sciences,Female,Single,Research & Development,2,2,Laboratory Technician,Yes,Travel_Rarely,49,392,8493,101920,,,80,12,3,0,4,3,4,2,10,9,5,0,8,4.5
1013,Yes,1,1,31,26,1,Life Sciences,Male,Divorced,Research & Development,3,1,Research Scientist,No,Travel_Rarely,31,248,5373,64480,,,80,17,3,1,1,3,4,2,5,5,2,4,3,4.3
1014,Yes,1,2,34,19,2,Medical,Male,Divorced,Research & Development,3,1,Laboratory Technician,No,Travel_Rarely,93,744,16120,193440,,,80,11,3,0,2,4,3,2,3,2,2,1,2,4.8
1015,No,0,4,28,24,3,Life Sciences,Male,Single,Research & Development,2,1,Laboratory Technician,Yes,Travel_Rarely,50,400,8667,104000,,,80,14,3,5,3,3,2,2,6,4,2,0,3,2.2
1016,Yes,1,1,29,21,4,Life Sciences,Female,Divorced,Research & Development,4,3,Manufacturing Director,No,Travel_Rarely,51,408,8840,106080,,,80,11,3,1,2,1,3,2,10,10,9,8,8,4.8
1017,Yes,2,5,32,5,2,Life Sciences,Male,Divorced,Research & Development,4,1,Research Scientist,Yes,Travel_Rarely,80,640,13867,166400,,,80,12,3,0,1,2,4,2,7,6,2,0,5,3.8
1018,Yes,2,2,22,16,2,Medical,Male,Divorced,Research & Development,4,1,Laboratory Technician,Yes,Non-Travel,96,768,16640,199680,,,80,13,3,1,4,4,2,2,1,1,0,0,0,3.5
1019,Yes,0,3,53,2,4,Life Sciences,Female,Married,Sales,2,4,Manager,No,Travel_Rarely,78,624,13520,162240,,,80,16,3,2,1,4,3,2,31,25,8,3,7,4.1
1020,Yes,0,3,38,2,3,Life Sciences,Male,Single,Research & Development,3,1,Research Scientist,Yes,Travel_Rarely,45,360,7800,93600,,,80,11,3,5,4,4,3,2,6,3,2,1,2,3.9
1021,Yes,1,5,24,11,2,Other,Female,Divorced,Research & Development,4,2,Manufacturing Director,No,Non-Travel,96,768,16640,199680,,,80,18,3,0,1,3,4,2,5,4,2,1,3,3.9
1022,No,0,4,36,9,4,Life Sciences,Male,Single,Sales,2,1,Sales Representative,No,Travel_Rarely,82,656,14213,170560,44,70003,80,23,4,7,3,1,2,2,10,5,3,0,3,3.2
1023,Yes,0,4,34,7,4,Life Sciences,Female,Single,Research & Development,3,3,Research Director,No,Travel_Rarely,53,424,9187,110240,,,80,11,3,0,1,2,3,2,13,12,6,2,11,3.7
