employee_id,stock_option_level,trainings_last_year,age,commute_distance,education_level,education_field,gender,marital_status,department,job_involvement,job_level,job_title,overtime,business_travel_frequency,monthly_income,percent_salary_hike,performance_rating,prior_company_count,active_status
1001,0,0,41,1,2,Life Sciences,Female,Single,Sales,3,2,Sales Executive,Yes,Travel_Rarely,5993,11,3,8,Yes
1002,0,3,37,2,2,Other,Male,Single,Research & Development,2,1,Laboratory Technician,Yes,Travel_Rarely,2090,15,3,6,Yes
1003,0,4,28,24,3,Life Sciences,Male,Single,Research & Development,2,1,Laboratory Technician,Yes,Travel_Rarely,2028,14,3,5,Yes
1004,0,4,36,9,4,Life Sciences,Male,Single,Sales,2,1,Sales Representative,No,Travel_Rarely,3407,23,4,7,Yes
1005,0,2,34,6,1,Medical,Male,Single,Research & Development,3,1,Research Scientist,No,Travel_Rarely,2960,11,3,2,Yes
1006,0,5,32,16,1,Life Sciences,Female,Single,Research & Development,1,1,Research Scientist,Yes,Travel_Frequently,3919,22,4,1,Yes
1007,1,6,39,5,3,Technical Degree,Male,Married,Sales,3,2,Sales Representative,No,Travel_Rarely,2086,14,3,3,Yes
1008,1,2,24,1,3,Medical,Male,Married,Research & Development,3,1,Research Scientist,Yes,Travel_Rarely,2293,16,3,2,Yes
1009,0,2,50,3,2,Marketing,Male,Married,Sales,2,1,Sales Representative,Yes,Travel_Rarely,2683,14,3,1,Yes
1010,0,2,26,25,3,Life Sciences,Male,Single,Research & Development,1,1,Laboratory Technician,No,Travel_Rarely,2293,12,3,1,Yes
1011,0,0,41,12,3,Technical Degree,Female,Married,Research & Development,3,5,Research Director,No,Travel_Rarely,19545,12,3,1,Yes
1012,0,2,48,1,2,Life Sciences,Male,Single,Research & Development,2,3,Laboratory Technician,Yes,Travel_Rarely,5381,13,3,9,Yes
1013,0,3,28,5,4,Technical Degree,Male,Single,Research & Development,3,1,Laboratory Technician,Yes,Travel_Rarely,3441,13,3,1,Yes
1014,1,0,36,9,3,Medical,Male,Married,Research & Development,2,1,Research Scientist,Yes,Travel_Rarely,3388,17,3,0,Yes
1015,0,3,46,9,2,Medical,Male,Single,Sales,2,3,Sales Executive,No,Travel_Rarely,9619,16,3,1,Yes
1016,0,3,37,6,4,Human Resources,Male,Divorced,Human Resources,3,1,Human Resources,Yes,Travel_Rarely,2073,22,4,4,Yes
1017,0,5,20,6,3,Life Sciences,Female,Single,Research & Development,2,1,Laboratory Technician,Yes,Travel_Frequently,2926,18,3,1,Yes
1018,0,1,25,5,3,Marketing,Male,Single,Sales,2,2,Sales Executive,Yes,Travel_Rarely,5744,11,3,1,Yes
1019,0,3,34,7,3,Life Sciences,Male,Single,Research & Development,1,2,Laboratory Technician,Yes,Travel_Frequently,6074,24,4,1,Yes
1020,3,2,56,14,4,Life Sciences,Female,Married,Research & Development,3,1,Research Scientist,Yes,Travel_Rarely,4963,18,3,9,Yes
1021,0,3,31,6,4,Life Sciences,Male,Married,Sales,1,2,Sales Executive,Yes,Travel_Rarely,6172,18,3,4,Yes
1022,1,3,58,23,4,Medical,Female,Married,Research & Development,3,3,Healthcare Representative,No,Travel_Rarely,10312,12,3,1,Yes
1023,0,2,19,22,1,Marketing,Male,Single,Sales,3,1,Sales Representative,Yes,Travel_Rarely,1675,19,3,1,Yes
1024,1,2,31,20,3,Life Sciences,Female,Married,Sales,1,2,Sales Executive,Yes,Travel_Rarely,4559,11,3,3,Yes
1025,0,2,51,8,4,Life Sciences,Male,Single,Research & Development,1,3,Manufacturing Director,No,Travel_Frequently,10650,15,3,2,Yes
1026,0,2,32,9,3,Medical,Female,Single,Research & Development,3,1,Laboratory Technician,No,Travel_Rarely,4200,22,4,7,Yes
1027,0,5,19,1,1,Technical Degree,Female,Single,Sales,1,1,Sales Representative,No,Travel_Frequently,2325,21,4,0,Yes
1028,0,3,19,2,3,Life Sciences,Male,Single,Research & Development,2,1,Laboratory Technician,No,Travel_Rarely,1102,22,4,1,Yes
1029,0,5,41,20,2,Marketing,Female,Single,Sales,3,1,Sales Representative,Yes,Travel_Rarely,3140,22,4,1,Yes
1030,0,1,35,23,2,Life Sciences,Male,Married,Research & Development,2,2,Manufacturing Director,Yes,Travel_Rarely,5916,13,3,3,Yes
1031,0,2,38,29,1,Medical,Male,Married,Research & Development,3,2,Healthcare Representative,Yes,Travel_Rarely,6673,19,3,7,Yes
