employee_id,stock_option_level,trainings_past_year
1001,0,0
1002,1,3
1003,0,3
1004,0,3
1005,1,3
1006,0,2
1007,3,3
1008,1,2
1009,0,2
1010,2,3
1011,1,5
1012,0,3
1013,1,1
1014,1,2
1015,0,4
1016,1,1
1017,2,5
1018,2,2
1019,0,3
1020,0,3
1021,1,5
1022,0,4
1023,0,4
1024,0,6
1025,0,2
1026,1,3
1027,0,5
1028,1,2
1029,1,4
1030,0,2
1031,0,3
1032,0,5
1033,0,5
1034,1,6
1035,1,2
1036,2,3
1037,0,2
1038,0,3
1039,1,3
1040,2,3
1041,1,3
1042,1,6
1043,0,2
1044,0,0
1045,0,2
1046,0,0
1047,0,2
1048,0,1
1049,0,4
1050,0,2
1051,0,2
1052,0,3
1053,1,2
1054,1,3
1055,1,2
1056,0,1
1057,1,3
1058,1,3
1059,1,3
1060,1,2
1061,1,3
1062,0,2
1063,1,2
1064,0,3
1065,3,2
1066,3,2
1067,0,3
1068,1,2
1069,1,2
1070,1,0
1071,0,2
1072,1,3
1073,0,4
1074,2,3
1075,0,3
1076,0,2
1077,0,2
1078,0,3
1079,0,3
1080,1,2
1081,2,1
1082,0,3
1083,1,4
1084,3,3
1085,0,2
1086,0,3
1087,1,3
1088,2,4
1089,3,3
1090,0,3
1091,1,3
1092,0,2
1093,3,4
1094,1,5
1095,0,0
1096,1,5
1097,1,2
1098,0,3
1099,0,1
1100,1,3
1101,0,3
1102,0,2
1103,0,5
1104,0,3
1105,1,2
1106,1,3
1107,0,1
1108,0,1
1109,2,2
1110,0,5
1111,0,1
1112,0,3
1113,0,3
1114,1,2
1115,1,3
1116,0,3
1117,0,6
1118,1,6
1119,1,2
1120,2,3
1121,3,2
1122,1,2
1123,3,2
1124,0,5
1125,0,3
1126,0,3
1127,1,3
1128,0,2
1129,1,2
1130,0,2
1131,0,2
1132,0,3
1133,1,2
1134,1,2
1135,1,3
1136,2,0
1137,0,2
1138,1,1
1139,0,3
1140,0,2
1141,0,2
1142,0,2
1143,0,2
1144,0,4
1145,3,2
1146,1,3
1147,0,3
1148,1,2
1149,1,2
1150,0,3
1151,1,2
1152,2,3
1153,1,3
1154,1,2
1155,0,2
1156,1,1
1157,0,2
1158,1,3
1159,1,2
1160,1,3
1161,2,6
1162,1,1
1163,1,2
1164,1,2
1165,1,2
1166,0,5
1167,1,2
1168,1,2
1169,0,2
1170,0,2
1171,1,3
1172,0,5
1173,0,3
1174,2,4
1175,1,3
1176,1,3
1177,0,2
1178,0,3
1179,3,2
1180,0,3
1181,1,0
1182,0,3
1183,0,5
1184,1,2
1185,2,3
1186,1,5
1187,1,2
1188,0,3
1189,0,2
1190,0,6
1191,1,5
1192,0,2
1193,0,1
1194,3,3
1195,1,1
1196,1,3
1197,0,5
1198,1,5
1199,0,3
1200,1,3
1201,1,1
1202,2,0
1203,1,4
1204,1,2
1205,0,2
1206,3,3
1207,1,2
1208,0,2
1209,1,5
1210,1,3
1211,0,2
1212,0,2
1213,0,2
1214,2,5
1215,0,5
1216,0,3
1217,0,5
1218,0,1
1219,0,2
1220,1,4
1221,0,3
1222,0,3
1223,3,1
1224,2,6
1225,1,2
1226,1,6
1227,1,2
1228,1,5
1229,0,3
1230,0,3
1231,0,3
1232,0,3
1233,0,2
1234,1,3
1235,1,2
1236,1,3
1237,0,3
1238,0,2
1239,1,5
1240,0,2
1241,3,1
1242,0,2
1243,2,2
1244,2,3
1245,1,2
1246,1,3
1247,1,2
1248,1,3
1249,1,2
1250,1,1
1251,2,5
1252,0,1
1253,0,1
1254,0,1
1255,1,2
1256,2,3
1257,1,4
1258,1,5
1259,0,0
1260,0,2
1261,0,3
1262,1,0
1263,0,5
1264,1,2
1265,0,5
1266,2,2
1267,1,2
1268,2,2
1269,0,2
1270,1,4
1271,0,2
1272,1,2
1273,1,3
1274,1,5
1275,0,4
1276,2,2
1277,1,6
1278,1,3
1279,1,6
1280,2,4
1281,3,5
1282,0,3
1283,0,3
1284,1,4
1285,1,3
1286,0,3
1287,1,0
1288,1,2
1289,1,2
1290,0,3
1291,0,4
1292,0,2
1293,1,5
1294,0,0
1295,3,3
1296,1,2
1297,0,2
1298,2,3
