employee_id,prior_emplr_cnt
1001,8
1002,1
1003,6
1004,1
1005,9
1006,0
1007,4
1008,1
1009,0
1010,6
1011,0
1012,0
1013,1
1014,0
1015,5
1016,1
1017,0
1018,1
1019,2
1020,5
1021,0
1022,7
1023,0
1024,1
1025,2
1026,4
1027,1
1028,0
1029,3
1030,3
1031,4
1032,2
1033,1
1034,3
1035,2
1036,1
1037,1
1038,1
1039,9
1040,2
1041,1
1042,1
1043,1
1044,1
1045,1
1046,1
1047,0
1048,4
1049,4
1050,1
1051,9
1052,1
1053,5
1054,2
1055,7
1056,1
1057,1
1058,3
1059,3
1060,1
1061,1
1062,1
1063,5
1064,7
1065,1
1066,2
1067,1
1068,2
1069,4
1070,0
1071,7
1072,0
1073,1
1074,1
1075,3
1076,1
1077,0
1078,4
1079,4
1080,8
1081,1
1082,1
1083,3
1084,7
1085,1
1086,4
1087,3
1088,3
1089,1
1090,1
1091,1
1092,0
1093,1
1094,2
1095,1
1096,9
1097,0
1098,1
1099,0
1100,4
1101,4
1102,1
1103,1
1104,1
1105,5
1106,9
1107,3
1108,1
1109,1
1110,1
1111,3
1112,1
1113,2
1114,0
1115,6
1116,2
1117,2
1118,0
1119,5
1120,1
1121,1
1122,0
1123,9
1124,7
1125,4
1126,1
1127,1
1128,1
1129,0
1130,1
1131,4
1132,4
1133,3
1134,3
1135,1
1136,6
1137,2
1138,4
1139,2
1140,0
1141,7
1142,5
1143,3
1144,1
1145,0
1146,5
1147,0
1148,4
1149,2
1150,1
1151,1
1152,1
1153,2
1154,8
1155,1
1156,1
1157,2
1158,4
1159,7
1160,6
1161,1
1162,6
1163,1
1164,3
1165,1
1166,3
1167,4
1168,2
1169,4
1170,3
1171,0
1172,0
1173,4
1174,1
1175,4
1176,4
1177,0
1178,1
1179,1
1180,1
1181,8
1182,2
1183,1
1184,2
1185,1
1186,1
1187,1
1188,8
1189,1
1190,3
1191,0
1192,1
1193,3
1194,4
1195,9
1196,1
1197,5
1198,2
1199,9
1200,3
1201,5
1202,1
1203,1
1204,8
1205,7
1206,1
1207,1
1208,1
1209,9
1210,7
1211,1
1212,1
1213,1
1214,5
1215,5
1216,3
1217,5
1218,0
1219,6
1220,2
1221,8
1222,6
1223,1
1224,0
1225,0
1226,3
1227,4
1228,1
1229,1
1230,1
1231,7
1232,1
1233,8
1234,3
1235,5
1236,5
1237,7
1238,1
1239,2
1240,0
1241,7
1242,0
1243,2
1244,1
1245,0
1246,9
1247,1
1248,6
1249,2
1250,4
1251,6
1252,0
1253,1
1254,3
1255,2
1256,0
1257,0
1258,0
1259,1
1260,0
1261,1
1262,3
1263,4
1264,3
1265,2
1266,2
1267,0
1268,1
1269,0
1270,0
1271,0
1272,1
1273,1
1274,4
1275,1
1276,2
1277,7
1278,1
1279,1
1280,3
1281,3
1282,1
1283,1
1284,3
1285,1
1286,1
1287,3
1288,9
1289,2
1290,1
1291,9
1292,4
1293,1
1294,1
1295,1
1296,5
1297,1
1298,0
1299,4
1300,5
1301,1
1302,1
1303,0
1304,4
1305,0
1306,7
1307,1
1308,3
1309,2
1310,0
1311,3
1312,1
1313,0
1314,6
1315,1
1316,0
1317,7
1318,2
1319,1
1320,1
1321,1
1322,4
1323,7
1324,5
1325,1
1326,1
1327,1
1328,4
1329,3
1330,4
1331,1
1332,0
1333,3
1334,8
1335,9
1336,2
1337,1
1338,0
1339,1
1340,1
1341,7
1342,0
1343,1
1344,1
1345,0
1346,1
1347,6
1348,3
1349,2
1350,1
1351,0
1352,1
1353,3
1354,4
1355,7
1356,1
1357,3
1358,1
1359,4
1360,4
1361,2
1362,3
1363,1
1364,1
1365,6
1366,2
1367,1
1368,6
1369,2
1370,0
1371,1
1372,9
1373,9
1374,1
1375,1
1376,8
1377,4
1378,4
1379,8
1380,2
1381,1
1382,1
1383,0
1384,1
1385,1
1386,9
1387,1
1388,7
1389,3
1390,2
1391,1
1392,6
1393,4
1394,9
1395,1
1396,7
1397,4
1398,1
1399,3
1400,1
1401,1
1402,9
1403,0
1404,1
1405,1
1406,5
1407,2
1408,3
1409,2
1410,2
1411,2
1412,5
1413,2
1414,0
1415,1
1416,0
1417,1
1418,0
1419,1
1420,4
1421,1
1422,5
1423,1
1424,0
1425,3
1426,0
1427,0
1428,4
1429,5
1430,6
1431,0
1432,7
1433,3
1434,2
1435,1
1436,7
1437,7
1438,0
1439,4
1440,3
1441,9
1442,4
1443,1
1444,5
1445,2
1446,3
1447,7
1448,9
1449,7
1450,1
1451,4
1452,1
1453,0
1454,0
1455,4
1456,4
1457,9
1458,1
1459,3
1460,2
1461,5
1462,1
1463,1
1464,1
1465,4
1466,5
1467,7
1468,1
1469,3
1470,8
1471,0
1472,3
1473,6
1474,1
1475,1
1476,1
1477,1
1478,1
1479,1
1480,1
1481,1
1482,1
1483,2
1484,4
1485,4
1486,0
1487,4
1488,1
1489,1
1490,4
1491,3
1492,3
1493,7
1494,4
1495,1
1496,0
1497,1
1498,4
1499,0
1500,0
1501,1
1502,1
1503,7
1504,1
1505,2
1506,1
1507,1
1508,1
1509,1
1510,3
1511,2
1512,2
1513,0
1514,1
1515,1
1516,1
1517,2
1518,0
1519,0
1520,1
1521,3
1522,1
1523,3
1524,1
1525,1
1526,9
1527,1
1528,1
1529,3
1530,0
1531,1
1532,3
1533,2
1534,5
1535,3
1536,3
1537,8
1538,1
1539,1
1540,7
1541,7
1542,9
1543,4
1544,2
1545,9
1546,7
1547,1
1548,6
1549,3
1550,3
1551,1
1552,9
1553,7
1554,0
1555,8
1556,1
1557,2
1558,2
1559,1
1560,6
1561,3
1562,1
1563,1
1564,1
1565,0
1566,1
1567,4
1568,1
1569,5
1570,1
1571,0
1572,3
1573,4
1574,6
1575,2
1576,9
1577,0
1578,0
1579,6
1580,1
1581,1
1582,3
1583,1
1584,5
1585,1
1586,1
1587,1
1588,8
1589,5
1590,1
1591,0
1592,5
1593,1
1594,0
1595,1
1596,7
1597,3
1598,9
1599,6
1600,4
1601,1
1602,6
1603,5
1604,1
1605,1
1606,2
1607,1
1608,1
1609,4
1610,6
1611,1
1612,3
1613,1
1614,0
1615,1
1616,1
1617,2
1618,9
1619,7
1620,1
1621,1
1622,1
1623,2
1624,9
1625,7
1626,4
1627,5
1628,3
1629,4
1630,1
1631,6
1632,2
1633,5
1634,0
1635,1
1636,1
1637,1
1638,0
1639,1
1640,2
1641,0
1642,1
1643,0
1644,2
1645,3
1646,6
1647,5
1648,3
1649,5
1650,6
1651,4
1652,0
1653,1
1654,1
1655,8
1656,3
1657,1
1658,6
1659,1
1660,1
1661,9
1662,4
1663,1
1664,1
1665,0
1666,1
1667,0
1668,4
1669,5
1670,7
1671,1
1672,1
1673,7
1674,3
1675,2
1676,3
1677,1
1678,4
1679,4
1680,1
1681,2
1682,1
1683,6
1684,1
1685,2
1686,1
1687,2
1688,4
1689,1
1690,1
1691,0
1692,8
1693,1
1694,1
1695,0
1696,5
1697,1
1698,1
1699,1
1700,2
1701,4
1702,6
1703,5
1704,1
1705,6
1706,0
1707,4
1708,1
1709,4
1710,0
1711,1
1712,6
1713,3
1714,3
1715,9
1716,1
1717,2
1718,9
1719,1
1720,1
1721,4
1722,3
1723,0
1724,6
1725,1
1726,1
1727,1
1728,1
1729,8
1730,1
1731,0
1732,1
1733,0
1734,1
1735,1
1736,2
1737,7
1738,6
1739,1
1740,0
1741,1
1742,6
1743,4
1744,3
1745,5
1746,3
1747,1
1748,8
1749,8
1750,1
1751,3
1752,0
1753,1
1754,1
1755,0
1756,3
1757,9
1758,0
1759,3
1760,1
1761,2
1762,7
1763,6
1764,1
1765,1
1766,3
1767,2
1768,3
1769,1
1770,1
1771,9
1772,6
1773,2
1774,0
1775,7
1776,5
1777,1
1778,1
1779,8
1780,9
1781,1
1782,1
1783,0
1784,1
1785,0
1786,4
1787,1
1788,3
1789,3
1790,9
1791,4
1792,0
1793,1
1794,1
1795,0
1796,2
1797,1
1798,1
1799,4
1800,0
1801,1
1802,3
1803,0
1804,3
1805,2
1806,1
1807,7
1808,0
1809,4
1810,0
1811,3
1812,7
1813,8
1814,7
1815,1
1816,1
1817,9
1818,2
1819,0
1820,0
1821,1
1822,6
1823,2
1824,0
1825,4
1826,1
1827,1
1828,1
1829,1
1830,0
1831,3
1832,1
1833,7
1834,1
1835,1
1836,1
1837,1
1838,9
1839,0
1840,7
1841,6
1842,8
1843,1
1844,1
1845,1
1846,3
1847,2
1848,0
1849,1
1850,8
1851,1
1852,4
1853,1
1854,1
1855,4
1856,1
1857,1
1858,1
1859,3
1860,0
1861,0
1862,8
1863,2
1864,1
1865,6
1866,8
1867,5
1868,2
1869,1
1870,5
1871,3
1872,1
1873,1
1874,1
1875,1
1876,1
1877,1
1878,2
1879,7
1880,0
1881,1
1882,4
1883,2
1884,0
1885,7
1886,0
1887,0
1888,3
1889,4
1890,1
1891,7
1892,1
1893,1
1894,1
1895,3
1896,1
1897,1
1898,5
1899,3
1900,2
1901,1
1902,5
