"year","month","job","level","remote","turnover_rate"
1,1,"People Scientist",1,"Yes",2.93
2,1,"People Scientist",1,"Yes",3.24
3,1,"People Scientist",1,"Yes",2.47
4,1,"People Scientist",1,"Yes",2.81
5,1,"People Scientist",1,"Yes",6.42
1,2,"People Scientist",1,"Yes",4.25
2,2,"People Scientist",1,"Yes",4.56
3,2,"People Scientist",1,"Yes",3.79
4,2,"People Scientist",1,"Yes",4.13
5,2,"People Scientist",1,"Yes",7.74
1,3,"People Scientist",1,"Yes",4.99
2,3,"People Scientist",1,"Yes",5.3
3,3,"People Scientist",1,"Yes",4.53
4,3,"People Scientist",1,"Yes",4.87
5,3,"People Scientist",1,"Yes",8.48
1,4,"People Scientist",1,"Yes",5.27
2,4,"People Scientist",1,"Yes",5.58
3,4,"People Scientist",1,"Yes",4.81
4,4,"People Scientist",1,"Yes",5.15
5,4,"People Scientist",1,"Yes",8.76
1,5,"People Scientist",1,"Yes",5.21
2,5,"People Scientist",1,"Yes",5.52
3,5,"People Scientist",1,"Yes",4.75
4,5,"People Scientist",1,"Yes",5.09
5,5,"People Scientist",1,"Yes",8.7
1,6,"People Scientist",1,"Yes",4.93
2,6,"People Scientist",1,"Yes",5.24
3,6,"People Scientist",1,"Yes",4.47
4,6,"People Scientist",1,"Yes",4.81
5,6,"People Scientist",1,"Yes",8.42
1,7,"People Scientist",1,"Yes",4.55
2,7,"People Scientist",1,"Yes",4.86
3,7,"People Scientist",1,"Yes",4.09
4,7,"People Scientist",1,"Yes",4.43
5,7,"People Scientist",1,"Yes",8.04
1,8,"People Scientist",1,"Yes",4.19
2,8,"People Scientist",1,"Yes",4.5
3,8,"People Scientist",1,"Yes",3.73
4,8,"People Scientist",1,"Yes",4.07
5,8,"People Scientist",1,"Yes",7.68
1,9,"People Scientist",1,"Yes",3.97
2,9,"People Scientist",1,"Yes",4.28
3,9,"People Scientist",1,"Yes",3.51
4,9,"People Scientist",1,"Yes",3.85
5,9,"People Scientist",1,"Yes",7.46
1,10,"People Scientist",1,"Yes",4.01
2,10,"People Scientist",1,"Yes",4.32
3,10,"People Scientist",1,"Yes",3.55
4,10,"People Scientist",1,"Yes",3.89
5,10,"People Scientist",1,"Yes",7.5
1,11,"People Scientist",1,"Yes",4.43
2,11,"People Scientist",1,"Yes",4.74
3,11,"People Scientist",1,"Yes",3.97
4,11,"People Scientist",1,"Yes",4.31
5,11,"People Scientist",1,"Yes",7.92
